R1,R2,No.Obs,V1,V2,V3,Vin,Theory,Exp
6800,10000,1,0.33,0.33,0.33,,,-1.47
6800,10000,2,0.33,0.33,0.22,,,-1.31
6800,10000,3,0.33,0.33,0.10,,,-1.14
6800,10000,5,0.33,0.22,-0.22,,,-0.49
6800,10000,6,0.33,0.22,0.10,,,-0.97
6800,10000,7,0.33,0.22,0.05,,,-0.9
6800,10000,8,0.33,0.22,-0.05,,,-0.74
6800,10000,9,0.22,0.22,0.33,,,-1.14
6800,10000,10,0.22,0.22,0.10,,,-0.8
6800,10000,11,0.22,0.22,-0.10,,,-0.49
6800,10000,12,0.22,0.22,-0.22,,,-0.32
6800,10000,13,0.22,0.22,-0.33,,,-0.15
6800,10000,14,-0.33,-0.33,0.10,,,0.82
